userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon
20,2019-06-28 18:41:38,2019-07-01 09:22:59,22.569523,113.868597,2 days 14:41:21,0,9,22.5690272,113.86913440000001
20,2019-07-01 09:39:51,2019-07-02 09:38:15,22.568817000000006,113.895215,0 days 23:58:24,1,0,22.56868187804879,113.8951422764228
20,2019-07-02 09:55:45,2019-07-02 17:46:29,22.569017,113.8951,0 days 07:50:44,1,0,22.56868187804879,113.8951422764228
20,2019-07-02 17:58:27,2019-07-03 09:36:28,22.559692,113.89431,0 days 15:38:01,2,3,22.559742999999997,113.89426175
20,2019-07-03 09:54:08,2019-07-03 18:24:56,22.568925,113.895252,0 days 08:30:48,2,0,22.56868187804879,113.8951422764228
20,2019-07-03 18:39:29,2019-07-04 09:40:36,22.569103,113.884182,0 days 15:01:07,3,8,22.569715666666667,113.88403566666666
20,2019-07-04 09:57:59,2019-07-04 17:15:51,22.56886,113.895122,0 days 07:17:52,3,0,22.56868187804879,113.8951422764228
20,2019-07-04 17:35:49,2019-07-05 09:36:10,22.570367,113.884378,0 days 16:00:21,4,8,22.569715666666667,113.88403566666666
20,2019-07-05 09:56:09,2019-07-09 08:19:01,22.568905,113.895017,3 days 22:22:52,1,0,22.56868187804879,113.8951422764228
20,2019-07-09 08:45:48,2019-07-10 08:02:38,22.568933,113.894755,0 days 23:16:50,2,0,22.56868187804879,113.8951422764228
20,2019-07-10 08:25:21,2019-07-11 08:15:20,22.568932,113.89503,0 days 23:49:59,3,0,22.56868187804879,113.8951422764228
20,2019-07-11 08:36:48,2019-07-11 09:14:07,22.584057,113.876642,0 days 00:37:19,3,-1,22.584057,113.876642
20,2019-07-11 09:31:37,2019-07-11 14:47:32,22.570835,113.863827,0 days 05:15:55,3,1,22.570867200000006,113.8639100727273
20,2019-07-11 14:58:13,2019-07-15 08:39:28,22.5681,113.864142,3 days 17:41:15,0,-1,22.5681,113.864142
20,2019-07-15 09:17:21,2019-07-15 15:25:06,22.566823,113.895638,0 days 06:07:45,0,0,22.56868187804879,113.8951422764228
20,2019-07-15 16:13:07,2019-07-15 16:48:35,22.541877,113.948557,0 days 00:35:28,0,-1,22.541877,113.948557
20,2019-07-15 17:05:49,2019-07-15 17:45:25,22.566758,113.89576,0 days 00:39:36,0,0,22.56868187804879,113.8951422764228
20,2019-07-15 17:55:11,2019-07-15 19:59:59,22.559765,113.894332,0 days 02:04:48,0,3,22.559742999999997,113.89426175
20,2019-07-15 20:27:02,2019-07-16 09:38:57,22.567505,113.855658,0 days 13:11:55,1,11,22.567278555555554,113.85592366666667
20,2019-07-16 10:00:26,2019-07-16 18:58:54,22.56899,113.89518,0 days 08:58:28,1,0,22.56868187804879,113.8951422764228
20,2019-07-16 19:42:01,2019-07-17 09:27:30,22.567863,113.855152,0 days 13:45:29,2,11,22.567278555555554,113.85592366666667
20,2019-07-17 09:44:28,2019-07-18 09:42:39,22.569003,113.895063,0 days 23:58:11,3,0,22.56868187804879,113.8951422764228
20,2019-07-18 11:01:40,2019-07-19 07:51:13,22.77231,113.831843,0 days 20:49:33,4,-1,22.77231,113.831843
20,2019-07-19 08:01:47,2019-07-20 09:36:52,22.595582,113.846357,1 days 01:35:05,5,-1,22.595582,113.846357
20,2019-07-20 09:53:18,2019-07-21 09:31:15,22.568752,113.895248,0 days 23:37:57,6,0,22.56868187804879,113.8951422764228
20,2019-07-21 09:46:17,2019-07-22 08:23:00,22.56899,113.895,0 days 22:36:43,0,0,22.56868187804879,113.8951422764228
20,2019-07-22 08:38:39,2019-07-23 13:08:54,22.56893,113.895035,1 days 04:30:15,1,0,22.56868187804879,113.8951422764228
20,2019-07-23 13:18:21,2019-07-23 13:53:13,22.554983,113.9447,0 days 00:34:52,1,-1,22.554983,113.9447
